source,numKins,numKSI,num uSubs
output_phosphositeplus_all_rat.gmt,91,492,282
output_phosphositeplus_fourplusinteractions_mouse.gmt,53,810,505
output_phosphositeplus_fourplusinteractions_rat.gmt,30,394,243
output_phosphositeplus_fourplusinteractions_human.gmt,190,5379,2253
output_phosphositeplus_all_human.gmt,359,5680,2314
output-withphosphosite_phosphositeplus_all_human.gmt,359,10415,7270
output-withphosphosite_phosphositeplus_all_mouse.gmt,185,1676,1230
output_phosphositeplus_all_mouse.gmt,185,1008,575
output-withphosphosite_phosphositeplus_all_rat.gmt,91,840,636
output_harmonizome_all_human.gmt,237,3588,1677
output_harmonizome_fourplusinteractions_human.gmt,130,3412,1638
output_hippie_fourplusinteractions_human.gmt,316,31994,8304
output_hippie_all_human.gmt,325,32013,8305
output_cheng_all_human.gmt,446,15366,4408
output_cheng_fourplusinteractions_human.gmt,368,15225,4402
output_phosd_fourplusinteractions_human.gmt,117,1781,540
output_phosd_all_human.gmt,174,1876,583
output_biogrid_fourplusinteractions_human.gmt,296,23220,7348
output_biogrid_fourplusinteractions_mouse.gmt,64,1180,737
output_biogrid_all_mouse.gmt,203,1577,796
output_biogrid_all_human.gmt,319,23293,7352
output_mint_all_human.gmt,212,1955,1007
output_mint_fourplusinteractions_human.gmt,101,1775,965
output-withphosphosite_phosphoelm_fourplusinteractions_human.gmt,27,416,295
output_phosphoelm_fourplusinteractions_human.gmt,27,416,295
output-withphosphosite_phosphoelm_all_human.gmt,50,136,100
output_phosphoelm_all_human.gmt,50,77,54
output-withphosphosite_ptmsigdb_fourplusinteractions_human.gmt,227,9928,7035
output_ptmsigdb_fourplusinteractions_human.gmt,187,5306,2231
output-withphosphosite_ptmsigdb_all_mouse.gmt,73,1377,1071
output-withphosphosite_ptmsigdb_fourplusinteractions_rat.gmt,43,706,554
output-withphosphosite_ptmsigdb_all_human.gmt,227,9928,7035
output-withphosphosite_ptmsigdb_fourplusinteractions_mouse.gmt,73,1377,1071
output_ptmsigdb_fourplusinteractions_mouse.gmt,50,778,485
output_ptmsigdb_all_mouse.gmt,73,826,499
output_ptmsigdb_all_human.gmt,227,5397,2247
output_ptmsigdb_fourplusinteractions_rat.gmt,25,360,230
output-withphosphosite_ptmsigdb_all_rat.gmt,43,706,554
output_ptmsigdb_all_rat.gmt,43,401,243
output_pips_all_human.gmt,192,8401,1729
output_pips_fourplusinteractions_human.gmt,162,8351,1719
output_psopia_all_human.gmt,159,855,532
output_psopia_fourplusinteractions_human.gmt,51,683,495
output_string_all_human.gmt,323,398579,17698
output_string_fourplusinteractions_human.gmt,323,398579,17698
output_phosphonetworks-rawKSI_all_human.gmt,289,24047,1959
output_phosphonetworks-comKSI_all_human.gmt,255,4375,1110
output_phosphonetworks-comKSI_fourplusinteractions_human.gmt,198,4263,1109
output_phosphonetworks-rawKSI_fourplusinteractions_human.gmt,289,24047,1959
output_reactome_all_human.gmt,150,2727,1046
output_reactome_fourplusinteractions_human.gmt,108,2659,1019
output_mentha_fourplusinteractions_mouse.gmt,101,1887,1164
output_mentha_fourplusinteractions_human.gmt,304,23702,7673
output_mentha_all_human.gmt,320,23731,7675
output_mentha_all_mouse.gmt,224,2099,1198
